log(g_hot),temperature_hot/10000,abundance_hot,theta_r_hot/1e-12,E(B-V)_hot,temperature_cool/10000,theta_r_cool/1e-12,E(B-V)_cool,Chi squared
3.5,0.65,-2.5,7.582365953915188,0.07,0.37,0.0,0.07,2.4550554093270334e+54
3.5,0.65,-2.5,7.582365953915188,0.07,0.55,0.0,0.07,2.4550554093270334e+54
3.5,0.65,-1.0,7.349017664484588,0.07,0.37,0.0,0.07,2.4623716961613443e+54
3.5,0.65,-1.0,7.349017664484588,0.07,0.55,0.0,0.07,2.4623716961613443e+54
3.5,0.65,0.5,6.812162042147429,0.07,0.37,0.0,0.07,2.4562339832750865e+54
3.5,0.65,0.5,6.812162042147429,0.07,0.55,0.0,0.07,2.4562339832750865e+54
5.0,0.65,-2.5,7.647523834030004,0.07,0.37,0.0,0.07,2.4265608466219688e+54
5.0,0.65,-2.5,7.647523834030004,0.07,0.55,0.0,0.07,2.4265608466219688e+54
5.0,0.65,-1.0,7.3674392276154546,0.07,0.37,0.0,0.07,2.434652535694655e+54
5.0,0.65,-1.0,7.3674392276154546,0.07,0.55,0.0,0.07,2.434652535694655e+54
5.0,0.65,0.5,6.769207287203602,0.07,0.37,0.0,0.07,2.4315310481079546e+54
5.0,0.65,0.5,6.769207287203602,0.07,0.55,0.0,0.07,2.4315310481079546e+54
