"System Throughput(Wavelength), created by Plot Digitizer, 2.6.8",
"Date: 7/3/18, 4:24:54 PM",
,
,
,
Wavelength(nm),System Throughput
395.466,0.00734694
396.474,0.0154592
397.625,0.0284694
398.633,0.0468367
399.64,0.0678061
400.648,0.0892347
401.511,0.108367
402.519,0.124286
403.526,0.136378
404.534,0.145714
405.542,0.152143
406.693,0.1575
407.701,0.161786
409.572,0.167143
414.61,0.17648
418.784,0.186429
421.662,0.19301
424.829,0.195918
426.7,0.195918
428.859,0.194847
431.882,0.199133
433.897,0.203571
435.768,0.206633
437.783,0.208929
442.533,0.208929
444.836,0.210765
448.003,0.218418
451.026,0.223776
454.048,0.226071
458.078,0.228061
460.957,0.228214
466.139,0.223929
471.033,0.223776
474.199,0.229286
477.078,0.233418
480.101,0.235714
483.123,0.236786
486.146,0.238776
491.184,0.238929
495.358,0.233418
500.108,0.228214
502.267,0.228061
507.305,0.230204
512.343,0.2325
520.547,0.2325
524.433,0.234643
527.456,0.235561
530.479,0.234031
532.638,0.229286
535.66,0.22148
538.539,0.218418
541.706,0.2175
543.865,0.215204
546.6,0.211071
547.751,0.20648
548.759,0.195
549.766,0.171429
550.63,0.133316
551.781,0.0916837
552.645,0.0564796
553.652,0.0327551
554.66,0.017602
555.811,0.00964286
556.675,0.00642857
