"System Throughput(Wavelength(um)), created by Plot Digitizer, 2.6.8",
"Date: 7/3/18, 5:10:07 PM",
,
,
,
Wavelength(nm),System Throughput
875.592,-0.000510204
883.412,0.00484694
886.019,0.0125
888.626,0.0265306
891.977,0.0487245
893.839,0.0852041
896.446,0.132908
899.052,0.185204
901.659,0.231633
904.265,0.265051
906.872,0.283673
909.851,0.2875
912.458,0.285204
914.692,0.284694
917.299,0.294133
919.905,0.305357
922.512,0.317602
925.119,0.326786
926.98,0.326786
927.725,0.326786
934.428,0.317092
935.917,0.319133
938.152,0.327296
940.758,0.336735
944.11,0.342347
946.344,0.345663
951.557,0.340561
954.164,0.340816
956.77,0.343878
959.75,0.351276
962.729,0.356888
964.59,0.358163
970.176,0.355102
972.41,0.351786
974.272,0.351531
975.017,0.35102
977.251,0.355102
980.603,0.360714
982.837,0.362245
988.422,0.356888
990.284,0.351531
993.636,0.34949
995.498,0.351276
998.477,0.356888
1001.08,0.362755
1003.32,0.365561
1005.92,0.365306
1009.28,0.362245
1011.14,0.356633
1013.74,0.351531
1015.98,0.351531
1016.72,0.35102
1018.96,0.357143
1021.56,0.365561
1024.17,0.375
1027.15,0.381633
1029.38,0.385204
1037.58,0.378061
1040.18,0.378061
1043.16,0.381888
1045.4,0.3875
1047.63,0.392857
1050.24,0.395918
1052.47,0.395918
1053.59,0.395663
1061.41,0.389286
1066.25,0.389286
1069.23,0.392602
1074.44,0.397704
1079.28,0.397449
1084.87,0.394388
1091.94,0.393878
1095.29,0.398214
1101.62,0.397704
1107.96,0.392857
1112.8,0.392602
1118.75,0.396429
1123.97,0.397449
1128.81,0.394388
1134.02,0.388775
1139.98,0.38852
1146.68,0.397704
1150.03,0.401531
1155.62,0.401276
1160.46,0.396173
1162.32,0.394388
1167.91,0.394388
1178.33,0.39949
1180.94,0.399745
1191.74,0.394133
1197.7,0.394388
1204.4,0.398214
1209.61,0.39898
1219.67,0.394388
1235.68,0.402806
1240.52,0.402806
1246.11,0.401531
1249.46,0.399745
1254.67,0.399745
1266.59,0.408418
1271.8,0.408673
1282.23,0.401531
1287.44,0.40102
1296.01,0.406888
1298.61,0.406633
1313.51,0.394643
1318.72,0.394133
1333.24,0.409439
1336.97,0.409694
1340.32,0.406888
1343.3,0.401276
1344.79,0.396429
1347.77,0.391071
1352.98,0.385204
1354.84,0.384949
1355.96,0.384694
1358.56,0.38699
1363.03,0.38648
1368.25,0.380102
1371.23,0.374745
1373.46,0.369643
1376.44,0.367347
1384.26,0.371429
1386.87,0.371429
1389.47,0.365816
1392.45,0.359949
1395.06,0.355102
1396.92,0.337245
1399.9,0.265816
1402.13,0.159439
1404.74,0.0693878
1407.35,0.0239796
1409.95,0.00790816
1412.93,0.00178571
1422.99,0
