"System Throughput(Wavelength), created by Plot Digitizer, 2.6.8",
"Date: 7/3/18, 4:43:18 PM",
,
,
,
Wavelength(nm),System Throughput
696.564,0.00107143
699.865,0.00428571
701.185,0.0128571
702.945,0.0252551
704.485,0.0526531
705.806,0.0944388
707.566,0.141888
708.886,0.177245
710.647,0.193929
711.967,0.199133
713.727,0.199286
716.808,0.19699
719.888,0.192857
722.969,0.188418
727.59,0.184286
730.67,0.184133
731.991,0.185357
735.291,0.186122
738.372,0.185357
742.993,0.180918
747.613,0.174337
750.474,0.171276
753.775,0.169286
756.635,0.16898
758.395,0.170357
761.476,0.170357
764.557,0.168673
775.119,0.155051
780.619,0.150612
784.58,0.149541
787.661,0.148776
792.282,0.146633
801.303,0.141122
804.604,0.139133
810.765,0.134847
813.846,0.13148
821.327,0.121837
825.948,0.117704
829.028,0.116633
831.009,0.115561
839.81,0.115408
843.111,0.114337
847.732,0.111735
852.133,0.106837
858.294,0.103776
861.594,0.102398
866.435,0.102551
873.697,0.103776
875.457,0.103622
879.858,0.102857
883.158,0.101633
889.32,0.0996429
898.341,0.0962755
908.023,0.0909184
923.646,0.0806633
924.526,0.0791327
929.147,0.0748469
943.009,0.0641327
949.391,0.0578571
953.792,0.0552551
956.872,0.0506633
958.412,0.0446939
960.173,0.0361224
961.493,0.0266327
963.253,0.0171429
964.793,0.0104082
966.114,0.00627551
967.654,0.00397959
970.955,0.000918367
